ND SHOT TYPES Total PtEnd---% Winner--% IndFcd--% UnfErr--% SvReturn inPtsW--% inPtsL--%
Total 242 47 (19%) 20 (8%) 11 (5%) 16 (7%) 38 (16%) 158 (65%) 84 (35%)
Forehand side 140 27 (19%) 14 (10%) 6 (4%) 7 (5%) 18 (13%) 92 (66%) 48 (34%)
Backhand side 102 20 (20%) 6 (6%) 5 (5%) 9 (9%) 20 (20%) 66 (65%) 36 (35%)
FH GS (top/flt/slc) 132 22 (17%) 9 (7%) 6 (5%) 7 (5%) 18 (14%) 85 (64%) 47 (36%)
BH GS (top/flt/slc) 94 17 (18%) 4 (4%) 5 (5%) 8 (9%) 20 (21%) 61 (65%) 33 (35%)
Baseline shots 229 40 (17%) 13 (6%) 11 (5%) 16 (7%) 38 (17%) 147 (64%) 82 (36%)
Net shots 13 7 (54%) 7 (54%) 0 (0%) 0 (0%) 0 (0%) 11 (85%) 2 (15%)
Groundstrokes (top/flt) 219 39 (18%) 13 (6%) 11 (5%) 15 (7%) 34 (16%) 145 (66%) 74 (34%)
Dropshots 1 1 (100%) 0 (0%) 0 (0%) 1 (100%) 0 (0%) 0 (0%) 1 (100%)
Lobs 2 0 (0%) 0 (0%) 0 (0%) 0 (0%) 0 (0%) 1 (50%) 1 (50%)
Volleys 5 2 (40%) 2 (40%) 0 (0%) 0 (0%) 0 (0%) 4 (80%) 1 (20%)
Smashes 6 3 (50%) 3 (50%) 0 (0%) 0 (0%) 0 (0%) 5 (83%) 1 (17%)
Half-volleys 1 1 (100%) 1 (100%) 0 (0%) 0 (0%) 0 (0%) 1 (100%) 0 (0%)
Swinging volleys 1 1 (100%) 1 (100%) 0 (0%) 0 (0%) 0 (0%) 1 (100%) 0 (0%)
Forehands (top/flt) 129 22 (17%) 9 (7%) 6 (5%) 7 (5%) 16 (12%) 85 (66%) 44 (34%)
Backhands (top/flt) 90 17 (19%) 4 (4%) 5 (6%) 8 (9%) 18 (20%) 60 (67%) 30 (33%)
FH slice/chip 3 0 (0%) 0 (0%) 0 (0%) 0 (0%) 2 (67%) 0 (0%) 3 (100%)
BH slice/chip 4 0 (0%) 0 (0%) 0 (0%) 0 (0%) 2 (50%) 1 (25%) 3 (75%)
BH drop shot 1 1 (100%) 0 (0%) 0 (0%) 1 (100%) 0 (0%) 0 (0%) 1 (100%)
BH lob 2 0 (0%) 0 (0%) 0 (0%) 0 (0%) 0 (0%) 1 (50%) 1 (50%)
FH volley 1 1 (100%) 1 (100%) 0 (0%) 0 (0%) 0 (0%) 1 (100%) 0 (0%)
BH volley 4 1 (25%) 1 (25%) 0 (0%) 0 (0%) 0 (0%) 3 (75%) 1 (25%)
FH smash 6 3 (50%) 3 (50%) 0 (0%) 0 (0%) 0 (0%) 5 (83%) 1 (17%)
BH half-volley 1 1 (100%) 1 (100%) 0 (0%) 0 (0%) 0 (0%) 1 (100%) 0 (0%)
FH swinging volley 1 1 (100%) 1 (100%) 0 (0%) 0 (0%) 0 (0%) 1 (100%) 0 (0%)
